year,GW_st,withdrawal,center pivot,center pivot LEPA,corn,sorghum,soybeans,wheat,fallow,rainfed
2008,20.469712396624452,3416.060069382496,0.2216216216216216,0.7783783783783784,0.6341463414634146,0.04573170731707317,0.06707317073170732,0.12804878048780488,0.125,0.3958333333333333
2009,19.901531965605276,2728.3943211541114,0.1459459459459459,0.854054054054054,0.6080246913580247,0.027777777777777776,0.11728395061728394,0.15123456790123457,0.09567901234567901,0.37797619047619047
2010,19.621837437314554,3304.111013989806,0.1202185792349726,0.8797814207650273,0.6377708978328174,0.018575851393188854,0.1609907120743034,0.09907120743034056,0.08359133126934984,0.3898809523809524
2011,19.308222929196262,3201.629132369153,0.1186440677966101,0.8813559322033898,0.6766467065868264,0.03592814371257485,0.09880239520958084,0.11377245508982035,0.0748502994011976,0.39285714285714285
2012,18.839140164291354,4153.905508110031,0.057471264367816,0.942528735632184,0.7018633540372671,0.043478260869565216,0.052795031055900624,0.11180124223602485,0.09006211180124224,0.4375
2013,18.213095939080258,2417.8088509568283,0.034090909090909,0.9659090909090908,0.5335365853658537,0.1402439024390244,0.0975609756097561,0.1402439024390244,0.08841463414634146,0.46130952380952384
2014,18.270237175664857,2477.0123384412095,0.0172413793103448,0.9827586206896552,0.5679012345679012,0.12037037037037036,0.024691358024691357,0.18518518518518517,0.10185185185185185,0.4107142857142857
2015,18.07093180506432,2044.232993331597,0.0176470588235294,0.9823529411764704,0.5075528700906344,0.1148036253776435,0.07250755287009064,0.21148036253776434,0.09365558912386707,0.41964285714285715
2016,18.19643580749093,2299.20138857863,0.0419161676646706,0.9580838323353292,0.6336336336336337,0.0990990990990991,0.03303303303303303,0.14414414414414414,0.09009009009009009,0.4226190476190476
2017,17.89917656343908,1775.1605018303533,0.0350877192982456,0.9649122807017544,0.6626506024096386,0.05421686746987952,0.07228915662650602,0.12048192771084337,0.09036144578313253,0.44345238095238093
2018,17.86051803602628,1972.2628084268863,0.0584795321637426,0.9415204678362572,0.6506024096385542,0.07530120481927711,0.0783132530120482,0.12349397590361445,0.07228915662650602,0.38095238095238093
2019,17.69558902176255,1310.6749564918098,0.0470588235294117,0.9529411764705882,0.7078313253012049,0.030120481927710843,0.06626506024096386,0.11746987951807229,0.0783132530120482,0.43452380952380953
2020,18.184085744359614,2777.2931279568365,0.0393258426966292,0.9606741573033708,0.7355623100303952,0.030395136778115502,0.0729483282674772,0.08206686930091185,0.0790273556231003,0.3958333333333333
2021,17.769174917339413,2256.1393065028915,0.0111731843575419,0.988826815642458,0.6920731707317073,0.03353658536585366,0.08841463414634146,0.11585365853658537,0.0701219512195122,
2022,17.557699506492664,3432.452815300825,,,0.7087087087087087,0.036036036036036036,0.06006006006006006,0.13213213213213212,0.06306306306306306,
